ID,AGE,USE,AD,ED,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,BICYCLES,MOTOR,WB,GENDER,UNO,SERO,DM1,DM2,DM3,DM4,DM5,EDM1,EDM2,EDM3,EDM4,EDM5
589,40.0,1,0.3,0.3,5,5,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
590,22.0,4,3.25,0.75,12,10,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
591,30.0,2,5.0,0.75,30,7,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
592,22.0,4,2.25,0.3,7,5,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
593,22.0,4,0.3,0.3,10,5,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0
594,22.0,1,1.75,0.75,15,10,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0
595,30.0,4,0.3,0.75,10,10,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
596,30.0,4,0.3,5.0,5,25,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
597,40.0,1,4.25,0.3,20,5,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
598,22.0,4,0.75,0.3,10,5,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0
599,30.0,4,0.75,5.0,10,30,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
600,54.0,4,0.3,0.3,5,10,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
601,22.0,1,1.25,1.75,10,15,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
602,54.0,4,0.75,4.75,10,15,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
603,22.0,4,0.3,0.3,5,4,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
604,22.0,4,0.3,0.75,4,10,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
605,22.0,4,0.3,0.75,2,10,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0
606,30.0,1,0.75,0.75,5,10,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
607,22.0,1,0.75,0.75,10,10,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
608,22.0,2,0.3,0.75,5,13,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
609,22.0,1,0.75,0.75,10,10,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
610,22.0,4,0.75,0.3,9,4,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
611,22.0,4,0.75,0.3,10,2,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
612,22.0,4,0.3,2.75,5,10,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
613,40.0,4,4.25,0.75,10,10,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
614,22.0,4,0.3,0.75,5,10,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
615,30.0,4,0.75,2.25,10,15,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
616,30.0,4,2.25,4.25,10,15,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
